,oldAIC,AIC,cost,country,time,a,r,beta_I,beta_A,mu_I,mu_A,nu,I0,alpha,t_lock,beta_lock
11,-1577.092806278554,-2276.3867658466447,0.0006764913786473728,United Kingdom,rational,1.0,1.0,0.6603943676481839,2.0610220625447724,0.06116425526383872,2.772500245765165,2.311370872148093,3.894825063635948e-18,0.0625277012626737,,
12,-1532.1766618558001,-2274.4881915908345,0.0012643776342299929,Italy,fermi,1.0,0.0,0.5324786022197857,15.926310394397344,3.160817435719978e-06,36.077005072991426,0.06120884840357312,5.593134973232331e-13,0.05870649768912476,2.118160116019117,
13,-602.7294445192751,-2271.75689711001,0.003794740917823253,Germany,fermi,0.0,1.0,0.4861582149163407,0.32243837966939576,3.033398969332373e-06,0.2282050484232697,4.587628373680963e-06,1.891566679557471e-13,0.07193012508448489,12.024153482450158,
14,-592.8966339354312,-2264.923531865132,0.0042216161823157355,Germany,exp,0.0,1.0,0.8894593174847671,2.85264162473539,0.0016105638544486756,0.5964298493843562,1.10198780461406,5.785337170384908e-21,0.07335319010381403,,
15,-1533.10617071822,-2256.767462042877,0.0012702251882057624,Italy,exp,1.0,0.0,1.1824089767827852,0.03426670188661698,0.0008782607337373217,0.3100798251010269,0.3486273405938018,7.840350231148009e-12,0.057735763837288526,,
16,-734.0475689547835,-2253.6517157613753,0.0010269414530688747,United Kingdom,fermi,0.0,1.0,0.562974865132552,15.061585038269437,2.498439177581686e-06,20.853869571975746,0.020782847082953183,6.787706428892557e-17,0.04842285216904394,0.13338413464809334,
17,-732.163569856749,-2251.8866657389513,0.001064194250852446,United Kingdom,exp,0.0,1.0,0.16762317396986431,1.0928415484071707,3.0582211689647275e-07,0.05798110075688213,2.414921604910345,1.203279937579393e-13,0.04901304863984315,,
18,-1415.393920200995,-2251.5258673806584,0.0017914107173096047,Spain,rational,1.0,1.0,0.08391043371247922,3.0959212923677404,1.4538531112084658e-07,0.2533362649946553,3.562901674111382e-07,2.6912057719378833e-24,0.06518298477036574,,
19,-1576.9685654147665,-2251.486345567393,0.0006768770292333048,United Kingdom,exp,1.0,1.0,0.003191366770514375,1.4496703843931766,5.358873342199502e-07,0.7390116288336533,4.123294273649891,7.504323176375601e-14,0.04900103301750176,,
20,-1452.559250338805,-2246.9874339909884,0.0009900725715573956,Portugal,rational,1.0,1.0,0.1963617239994238,7.0623996873637855,3.739028689722375e-07,0.24401560513818984,0.015329130721526156,8.262632500621214e-34,0.11493731352500725,,
21,-764.4423753483334,-2237.8529039218183,0.0012177990190339715,Italy,exp,0.0,0.0,1.152114206442127,0.004586578801466654,0.0037805954129913385,0.2894059686721914,0.29064316250505845,1.306230994636867e-11,0.05622567390072231,,
22,-1196.6832781286503,-2226.945488856164,0.004673461725981708,Spain,fermi,1.0,0.0,0.0017013743623820947,1.6145973661421424,1.0269289789999188e-05,1.0263592161250508,0.0019250710271413293,1.3010410338181669e-12,0.01860431877295574,9.011257832061268,
23,-593.5902819603901,-2219.6618159291393,0.0045410170820486435,Spain,fermi,0.0,0.0,0.0010624158984216233,1.433175965661316,2.0156742833033403e-06,1.0984602451466143,0.002152314057923375,1.6573676203590465e-12,0.019684471544756176,25.82305142281249,
24,-728.2871458560771,-2215.529278430779,0.000970923337031198,Belgium,rational,0.0,1.0,0.013439684669957154,1.0372095567440476,0.000664442780369219,0.1640362142016045,0.0038387527038523475,1.4755284986800938e-12,0.041570492450429104,,
25,-674.669981466673,-2215.3117913066144,0.0015081272681837842,Portugal,rational,0.0,1.0,0.1105552346565624,3.5608640258355053,0.0002545647150710528,0.21197281527986248,0.013442493962966151,1.3591883555562966e-23,0.08465872999015013,,
26,-1527.8663152674387,-2210.7845702222253,0.0008401286067087808,United Kingdom,fermi,1.0,1.0,0.2970446285689198,0.15752683571558215,8.015520015705263e-05,1.1245921601826747,1.9163294391848849,1.7860392602209217e-10,0.052142321767678544,14.032141445228266,
27,-1239.6137968912763,-2209.930681712721,0.003528406257883745,Germany,rational,1.0,1.0,4.423654135023892,1.441898458945783,0.09560755484029317,1.6691966438429922,46.24128829871082,7.138504207390259e-27,0.13025203826985765,,
28,-1354.858065690857,-2205.265366792822,0.0023416625838647512,Spain,exp,1.0,1.0,0.3697307149129297,2.7768980742364944,0.007879972709526225,0.3635443726325427,0.00010757578677691896,3.398301598421933e-22,0.04826854087897305,,
29,-1501.4360828021024,-2195.3411819774697,0.001456014921403386,Italy,rational,1.0,0.0,0.3636114842554666,0.7974200303120882,0.07187675968088272,0.6959161756682276,0.7126495049853222,1.2726108775127232e-11,0.0489434134755269,,
30,-582.1742026204574,-2190.2479280268453,0.005113465629326951,Spain,rational,0.0,0.0,0.0005589294188840852,5.185907230295761,0.016162369229371934,4.720159021459421,0.0012339295337823169,9.581638725540704e-13,0.006692530928165805,,
31,-587.294202348907,-2171.3464643449815,0.003374680117530103,Portugal,fermi,0.0,0.0,0.005153102573355493,1.7244669223038438,1.781628173888354e-08,1.3127579380127106,0.002586604035628922,2.8992669035579004e-12,0.018690135734861703,17.114054569355844,
32,-683.2397281710573,-2168.655154896766,0.0014791922136681516,Belgium,exp,0.0,1.0,0.9115634896107994,0.9393978211604024,0.006392775350430703,1.0497475992631415,6.419329879585027,1.5766065999435182e-14,0.06149896378118865,,
33,-1465.7894340202529,-2168.6010207647128,0.0009928768722860947,Belgium,exp,1.0,1.0,1.7079401520958015,0.010007352312100334,0.0066381529477565855,0.0011754132399276213,8.288518828080218,2.0553660123452467e-14,0.06140438320164444,,
34,-1192.8459691149385,-2150.1121093418883,0.004316751560684036,Germany,fermi,1.0,1.0,0.008728636953441048,0.18008688700455205,2.1916997470803408e-05,0.06255966596560987,0.05651256571729067,4.054305763291292e-08,0.07258647452509882,34.64552477761558,
35,-1367.7551530338333,-2137.0545218190164,0.0017511182379702085,United Kingdom,fermi,1.0,0.0,0.12192841728772688,1.159227563950996,1.57444698034289e-08,8.815100904926739,0.9972102022217372,6.510723159029883e-11,0.05530076814896718,27.510857481374078,
36,-1422.3159773826192,-2136.1229790328616,0.0012165249288751195,Belgium,rational,1.0,1.0,0.5476865236587724,1.1834755464657882,0.09181188308309818,0.7013449740935055,1.9403598534203408,6.575919967238313e-15,0.061094684378788185,,
37,-1289.313687914252,-2131.3921801303477,0.003101950155669543,Spain,fermi,1.0,1.0,0.6696489570471841,1.3027963534733886,9.63770895888354e-06,0.5950928830641186,5.9952216426853806e-05,2.546545401295707e-21,0.07242194368075858,9.345326497816092,
38,-637.6282052990407,-2130.470227739856,0.002487221538695562,United Kingdom,fermi,0.0,0.0,0.2922987575728316,0.001500806496106988,2.9108839952046007e-13,0.0440567207587479,1.5585996406406435,3.7448635171162817e-10,0.05562055613656295,24.18105072583073,
39,-586.5572752788719,-2107.991004396487,0.004832626028058875,Spain,fermi,0.0,1.0,1.5154299059298355,0.6427683661433194,0.0007786663550757558,0.2112705491436608,0.0006396063895492504,1.8725635024608656e-19,0.07508941489859708,1.1712992703627665,
40,-1327.9198403529651,-2107.7455467359086,0.002121577002030189,United Kingdom,rational,1.0,0.0,0.27721588660440466,0.29691342160823203,0.1018328004181678,0.0003913423072672437,4.359577553771701,1.7512554977969954e-10,0.0280790343363671,,
41,-611.6550666232092,-2106.6886707729964,0.0032149137800968545,United Kingdom,rational,0.0,0.0,0.5791749687879607,0.00014209158757450726,0.10237009141151182,0.9738318731843568,1.2356501526000805,1.770670573034055e-10,0.027956221906391118,,
42,-603.5882531116449,-2106.5836012963364,0.0034618668747233338,United Kingdom,exp,0.0,0.0,0.7175890594866471,0.07722749775714999,0.04790382176152135,0.2293620938617886,0.7681027188198596,3.091038951626924e-11,0.033245146254848784,,
43,-1316.0875879544444,-2105.4346750030827,0.0022399108549594608,United Kingdom,exp,1.0,0.0,0.7770935684981009,0.034777140414438835,0.04788531276701154,3.3548050833870935,0.4021957725836201,3.053924314393351e-11,0.033246324498850406,,
44,-532.3365038166388,-2104.3039079281552,0.007154823725303045,Germany,lock,0.0,0.0,0.4514412123485354,0.2319376124427661,0.5364915632267726,0.16472464794067154,0.4452353049783805,6.289265318059343e-09,,44.00088770703812,0.1848920779783753
45,-1206.2342250461238,-2102.0778397487397,0.0031643050648728467,Portugal,rational,1.0,0.0,0.016591495511029567,1.9841077542986518,0.01326991385986543,1.4929624882817936,4.950006618679358e-05,5.550908504887822e-12,0.01479641272527068,,
46,-580.0432609972385,-2097.91456066985,0.005210809771904459,Spain,exp,0.0,1.0,3.6987276668624447,0.3883629067256533,2.1726344680354017e-12,5.191477616575051,42.36941609873468,4.859431089517653e-24,0.07734463870597957,,
47,-1148.3447896019204,-2096.431965752996,0.004118804186346475,Portugal,lock,1.0,0.0,0.006752655685436657,0.626290986395192,1.625426010748101,0.08907176570274677,0.3553257098418793,5.75093064909963e-09,,38.23820368020926,0.2829121720326493
48,-1128.134272185455,-2090.3898170784273,0.0057776515631360655,Germany,lock,1.0,0.0,0.17837979785871594,0.36882089697044174,0.34612780627729783,0.26066595049276026,0.13964752456856602,7.111233809660926e-09,,44.99997526025209,0.13424865053023607
49,-1261.1051652771152,-2074.3700662561027,0.003202841287746901,Germany,rational,1.0,0.0,0.015004330535849522,1.9007806843308028,0.0474862505855416,1.4208082665223591,0.013700707769144341,6.3102858767130085e-12,0.016182063308547122,,
50,-524.200637474138,-2024.0118371883,0.0070412529335013236,United Kingdom,lock,0.0,0.0,0.6807706975784713,1.6969624100404854,3.4461200313290314,1.7865634974911249,0.15896549587509046,2.1439904900049607e-09,,45.00000024896413,1.2063685490744922
51,-1136.2773935408165,-2021.0477943491405,0.005063607438645987,United Kingdom,lock,1.0,0.0,0.7442567736525524,0.4998422257438931,0.9924635399535108,1.0843714429644111,0.014832717807126616,3.2027333574195284e-09,,48.99999584714138,0.5131851848572586
52,-520.9186332864889,-2017.4791599559085,0.008793053757581914,Spain,rational,0.0,1.0,1.9343479269882675,0.4845833457139159,0.11320406301616155,3.4730493139807512,44.43058264709472,9.16340752455502e-19,0.07383959641811487,,
53,-508.56012291898946,-2015.0643048006425,0.008863913805404208,Germany,fermi,0.0,0.0,0.06316100294834648,0.623992981234322,9.675716443450175e-12,0.5807022006766293,11.982805157294226,3.6577851230110486e-12,0.07107382502680604,10.225852259574944,
54,-500.5656164743548,-2002.9871563612203,0.007794065967268823,Portugal,exp,0.0,1.0,0.0002022774795099277,1.6706649408554268,3.236175753359045e-06,0.4014621404887943,1.3821006793706234,4.611678653798831e-13,0.05930649376182302,,
55,-1126.0185787045184,-1998.9335944229806,0.004619604766314634,Portugal,exp,1.0,1.0,1.3423736257784662,0.030327248582993387,4.266954019594317e-09,0.2985977998538139,2.1795932665462265,1.059370884646607e-12,0.06001997217420167,,
56,-547.5914780179775,-1969.1686670227273,0.005157980897839447,Belgium,fermi,0.0,0.0,0.2573566028255407,0.6753122193865618,7.236152326782844e-08,2.9247399834185392,0.1177301233107983,1.036035769412499e-10,0.06597899366674541,20.76103813803713,
57,-478.19873491276365,-1950.6230346059626,0.009445165873323546,Portugal,lock,0.0,0.0,0.25100782669481403,0.4019197395041876,0.6208396840209355,0.24023631872914786,0.20572845906647733,8.15553780921902e-09,,43.99998636075404,0.2022410543403853
58,-496.3507470312006,-1945.0263224750809,0.010074432726883322,Germany,exp,0.0,0.0,1.4468352912190519,0.4109968753536388,0.004786975728652612,0.8066975314380059,2.1604633172528134,7.957557226492293e-15,0.06353278118081783,,
59,-1122.6031915106441,-1941.5508488566727,0.0059770138256904,Germany,exp,1.0,0.0,1.5522446400064769,0.2270301651763988,0.004732974426558525,0.5552094124637648,3.8993909097695054,1.0262498326176241e-14,0.06354244312378833,,
60,-996.8977547431564,-1930.145227104515,0.008414325594180445,Portugal,fermi,1.0,0.0,1.0284222049129024,0.006110524745405236,7.224004168922375e-09,1.0043007809715176,1.4950749380284012,1.4644620378795363e-12,0.06426597015798705,7.196980248293503e-05,
61,-470.2774060948955,-1928.6936336989834,0.012741899859988654,Germany,rational,0.0,0.0,1.4084204183810318,0.003241450460134694,0.09426774582562672,8.068904183533272,0.0602359032417109,2.2342527814372726e-14,0.0602069147504324,,
